index,nickname,country,city,club,band,daily_cap,schedule,rename_flag,base_skill,consistency,speed_offset,affinities,has_avatar,personality_seed
245,nugo zarkeli,GE,Rustavi,,B1 (bottom),3,evening,yes,0.186,0.439,0.24,bundesliga:0.056 transfers:0.07 la_liga:-0.075 georgian_football:-0.063 serie_a:-0.058,no,1769368858122327
246,Tato Peikrishashvili,GE,Poti,,B4,2,evening,no,0.637,0.509,-0.204,serie_a:0.078 bundesliga:0.149 legends:-0.066 national_teams:-0.147,no,2091920694014843
247,Mariushka,GE,Ozurgeti,,B4,15,evening,no,0.665,0.51,0.013,la_liga:0.086 premier_league:0.126 georgian_football:0.077 serie_a:-0.172 transfers:-0.135 champions_league:-0.106 national_teams:-0.052,no,838027827053064
248,Mirianiko14,ES,Barcelona,,B3,10,daytime,no,0.548,0.51,-0.101,premier_league:0.163 serie_a:0.184 world_cup:0.182 bundesliga:-0.099 legends:-0.137 champions_league:-0.146,no,4305628306466908
249,Dato Bebershvili,GE,Zugdidi,,B3,2,daytime,no,0.599,0.382,-0.152,champions_league:0.142 la_liga:0.143 bundesliga:0.054 serie_a:0.171 transfers:-0.109 national_teams:-0.153 legends:-0.068,no,3361729636161926
250,vidal,GE,Zugdidi,,B3,2,daytime,no,0.553,0.813,-0.235,premier_league:0.153 la_liga:0.094 national_teams:-0.116 transfers:-0.081 champions_league:-0.194 world_cup:-0.108,no,2234829661929044
251,Vephkhviani,GE,Batumi,,B5 (top),2,daytime,no,0.888,0.537,0.108,world_cup:0.136 champions_league:0.13 transfers:0.195 legends:-0.102 national_teams:-0.163,no,627453986107417
252,tokon,GE,Ozurgeti,,B3,2,morning,no,0.52,0.451,0.252,legends:0.088 national_teams:0.086 world_cup:0.081 premier_league:0.079 champions_league:-0.086 serie_a:-0.196 georgian_football:-0.118,no,735026871437075
253,Bubao,GE,Ozurgeti,,B2,2,evening,no,0.292,0.543,0.154,legends:0.12 premier_league:0.1 georgian_football:0.16 la_liga:-0.069 national_teams:-0.115 transfers:-0.052,no,1066169227950959
254,TakoS22,GE,Zugdidi,,B2,21,daytime,no,0.419,0.59,0.119,serie_a:0.051 premier_league:0.128 la_liga:0.112 world_cup:-0.144 legends:-0.188 transfers:-0.185 national_teams:-0.1,no,3203488570293261
255,Jemal Elizbareli,GE,Zugdidi,,B3,10,daytime,no,0.494,0.616,-0.298,transfers:0.064 la_liga:0.066 georgian_football:0.132 bundesliga:0.171 national_teams:-0.185 serie_a:-0.06,no,1608242393897697
256,Gogaiko,GE,Zugdidi,,B2,15,evening,yes,0.278,0.397,0.166,world_cup:0.121 champions_league:0.062 premier_league:-0.154 serie_a:-0.194 bundesliga:-0.061 la_liga:-0.185,no,3964192852835943
257,roin,GE,Poti,,B3,15,daytime,no,0.553,0.542,-0.109,legends:0.148 world_cup:0.129 serie_a:0.19 champions_league:0.166 bundesliga:-0.102 georgian_football:-0.18 la_liga:-0.121 transfers:-0.145,no,1978749367884072
258,MalkhazA,GE,Ozurgeti,,B3,2,evening,no,0.453,0.707,-0.234,georgian_football:0.192 bundesliga:0.07 champions_league:0.138 premier_league:0.182 transfers:-0.054 legends:-0.126,no,2718875227260121
259,elene lordkipaidze,GE,Poti,,B2,10,evening,no,0.434,0.582,0.01,transfers:0.157 world_cup:0.181 legends:0.153 la_liga:-0.129 national_teams:-0.191 premier_league:-0.104,no,115791834782515
260,mananaushka,GE,Telavi,,B1 (bottom),10,evening,no,0.076,0.353,0.127,serie_a:0.076 bundesliga:0.182 national_teams:0.167 premier_league:-0.114 legends:-0.081 champions_league:-0.058 world_cup:-0.118,no,670992789781494
261,Mirianiko22,GE,Rustavi,,B3,2,evening,no,0.542,0.421,-0.219,legends:0.164 premier_league:0.183 champions_league:0.148 national_teams:0.174 georgian_football:-0.091 world_cup:-0.176 bundesliga:-0.135 serie_a:-0.122,no,3930780323672787
262,ketika,GE,Poti,,B3,2,daytime,no,0.475,0.745,0.14,georgian_football:0.051 champions_league:0.188 serie_a:0.079 legends:0.136 la_liga:-0.068 premier_league:-0.194,no,260077536255288
263,gagoshvili526,GE,Telavi,,B1 (bottom),2,night_owl,no,0.134,0.567,0.175,premier_league:0.195 legends:0.132 georgian_football:0.088 la_liga:0.18 champions_league:-0.139 national_teams:-0.123,no,291113969921837
264,MishaB,GE,Batumi,,B3,2,daytime,no,0.519,0.386,-0.142,bundesliga:0.184 world_cup:0.174 transfers:-0.173 premier_league:-0.152 national_teams:-0.098 champions_league:-0.189,no,226196847016027
265,Vova Mikashvili,GE,Kutaisi,,B2,2,evening,no,0.444,0.613,0.133,premier_league:0.185 legends:0.121 world_cup:0.112 national_teams:0.092 champions_league:-0.183 transfers:-0.052 bundesliga:-0.174 serie_a:-0.064,no,198281191367485
266,Lela Kalatozshvili,GE,Ozurgeti,,B5 (top),2,daytime,no,0.897,0.611,0.098,champions_league:0.142 transfers:0.117 world_cup:0.174 serie_a:-0.104 georgian_football:-0.174 premier_league:-0.199 bundesliga:-0.12,no,3653037098619619
267,zuraz,GE,Rustavi,,B2,2,night_owl,no,0.258,0.731,0.293,world_cup:0.101 champions_league:0.081 transfers:0.102 la_liga:-0.183 national_teams:-0.195 bundesliga:-0.11 legends:-0.079,no,889281573813529
268,merabl,GE,Batumi,FC Barcelona,B1 (bottom),2,daytime,no,0.236,0.793,0.152,world_cup:0.06 serie_a:0.137 georgian_football:0.082 champions_league:-0.118 legends:-0.056 transfers:-0.147 la_liga:-0.162,no,1322294302890976
269,ekaa.neymar54,GE,Tbilisi,,B3,2,evening,no,0.475,0.762,-0.264,georgian_football:0.063 legends:0.172 serie_a:-0.057 transfers:-0.089 premier_league:-0.071,no,1192633647001855
270,kaki maisurshvili,GE,Tbilisi,,B4,2,evening,no,0.64,0.535,-0.248,serie_a:0.175 world_cup:0.083 transfers:-0.1 champions_league:-0.187,no,1286329808892085
271,Kukurio,GE,Rustavi,,B2,2,evening,no,0.291,0.609,0.117,bundesliga:0.124 national_teams:0.173 champions_league:0.159 georgian_football:0.192 transfers:-0.095 legends:-0.097 world_cup:-0.177,no,22938482778407
272,japarshvili,GE,Gori,,B4,3,daytime,no,0.748,0.675,-0.019,georgian_football:0.089 bundesliga:0.197 premier_league:0.137 legends:-0.138 la_liga:-0.142 champions_league:-0.191,no,841004453399634
273,MalkhazT,GE,Rustavi,,B3,2,evening,no,0.531,0.484,0.137,la_liga:0.144 champions_league:0.066 bundesliga:0.056 georgian_football:0.11 premier_league:-0.143 transfers:-0.141,no,2854380506669363
274,eliasheli,GE,Telavi,,B3,2,daytime,no,0.599,0.383,0.273,georgian_football:0.062 la_liga:0.167 legends:0.149 world_cup:0.16 champions_league:-0.177 premier_league:-0.192,no,3993733549439238
275,misha,GE,Akhaltsikhe,,B1 (bottom),3,daytime,no,0.09,0.593,0.113,premier_league:0.125 champions_league:0.06 la_liga:-0.062 bundesliga:-0.128 serie_a:-0.102 legends:-0.153,no,906775968543178
276,Tazo Darakhveladze,GE,Ozurgeti,,B3,15,evening,no,0.473,0.823,-0.281,legends:0.14 world_cup:0.157 serie_a:0.08 champions_league:-0.168 national_teams:-0.095 bundesliga:-0.136,no,3541250064179645
277,kako tabagua,GR,Athens,,B1 (bottom),2,daytime,no,0.211,0.416,0.082,legends:0.165 world_cup:0.098 premier_league:0.095 transfers:0.182 bundesliga:-0.115 la_liga:-0.071 serie_a:-0.103 national_teams:-0.061,no,1385013754306965
278,tornike arakiidze,GE,Poti,,B4,10,evening,yes,0.638,0.838,-0.246,legends:0.194 georgian_football:0.07 serie_a:0.082 champions_league:0.058 la_liga:-0.056 national_teams:-0.122,no,2232021884258974
279,Tokoka.cf,GE,Tbilisi,,B3,3,morning,no,0.532,0.47,-0.084,premier_league:0.088 georgian_football:0.107 national_teams:-0.092 la_liga:-0.151,no,830637161920029
280,Tato,GE,Akhaltsikhe,,B3,3,morning,yes,0.484,0.593,-0.237,champions_league:0.157 world_cup:0.071 la_liga:0.071 transfers:-0.057 legends:-0.178,no,290356915400031
281,gugaiko,GE,Gori,,B3,10,evening,no,0.467,0.744,0.121,la_liga:0.164 bundesliga:0.182 champions_league:-0.121 georgian_football:-0.093 transfers:-0.073,no,3590562197593340
282,anano tsereteliava,GE,Poti,,B4,2,evening,no,0.67,0.657,0.006,la_liga:0.106 world_cup:0.14 champions_league:-0.182 bundesliga:-0.099 transfers:-0.121 serie_a:-0.155,no,1660690991087754
283,Mamukaika,GE,Rustavi,,B2,2,morning,no,0.383,0.492,-0.104,legends:0.073 premier_league:0.172 world_cup:-0.143 champions_league:-0.13,no,1423169518063548
284,temuri,US,Chicago,,B4,10,evening,no,0.689,0.544,-0.004,premier_league:0.127 serie_a:0.122 la_liga:0.186 transfers:0.101 champions_league:-0.092 bundesliga:-0.083 national_teams:-0.108,no,1195393174842621
285,Mirian Lordkipaidze,GE,Gori,,B2,10,evening,yes,0.394,0.508,-0.286,world_cup:0.106 legends:0.147 champions_league:0.197 national_teams:0.178 georgian_football:-0.075 serie_a:-0.165 bundesliga:-0.083,no,2927889973245665
286,Ioseb Gvaramadze,GB,London,,B2,2,evening,no,0.308,0.446,0.164,legends:0.144 bundesliga:0.174 georgian_football:0.129 premier_league:-0.055 national_teams:-0.175,no,1556886408750248
287,Turashidze,GE,Rustavi,,B1 (bottom),2,morning,no,0.103,0.597,0.195,world_cup:0.195 national_teams:0.196 la_liga:0.103 serie_a:-0.093 transfers:-0.16 premier_league:-0.161,no,2324129799009685
288,ZURABUNA.striker,GE,Kutaisi,,B3,3,night_owl,no,0.451,0.743,0.155,world_cup:0.066 georgian_football:0.159 national_teams:0.116 transfers:0.09 bundesliga:-0.154 champions_league:-0.09,no,319947025641372
289,Koteiko,GE,Batumi,,B2,2,morning,no,0.326,0.562,-0.299,legends:0.116 premier_league:0.163 champions_league:-0.079 national_teams:-0.126 bundesliga:-0.157,no,2228180296140264
290,guram samkharashvili,GE,Batumi,,B4,2,evening,no,0.694,0.473,0.138,premier_league:0.2 la_liga:0.102 champions_league:-0.133 legends:-0.093 serie_a:-0.094 transfers:-0.061,no,2298811432881010
291,Guramuna1,US,Los Angeles,,B4,10,evening,no,0.629,0.546,0.218,world_cup:0.178 premier_league:0.195 la_liga:-0.152 bundesliga:-0.06,no,2020456074696229
292,gubazr,GE,Ozurgeti,,B1 (bottom),15,evening,no,0.25,0.573,-0.235,world_cup:0.185 georgian_football:0.129 national_teams:0.098 champions_league:-0.11 premier_league:-0.074 serie_a:-0.086,no,2358441474887394
293,zlatan,GE,Batumi,,B2,2,evening,no,0.332,0.592,-0.223,legends:0.169 serie_a:0.142 national_teams:0.197 world_cup:-0.162 georgian_football:-0.183,no,2221604498688621
294,lasha tomadashvili,GE,Rustavi,,B1 (bottom),2,evening,no,0.218,0.695,-0.266,serie_a:0.061 georgian_football:0.061 national_teams:-0.096 premier_league:-0.107,yes,1898444264492352
295,Tokoka,GE,Kutaisi,,B1 (bottom),2,evening,no,0.23,0.581,0.06,serie_a:0.088 transfers:0.134 champions_league:0.082 la_liga:0.084 georgian_football:-0.076 bundesliga:-0.172 legends:-0.179 premier_league:-0.072,no,2511938297041609
296,Vato Abasheli,GE,Rustavi,,B3,2,daytime,no,0.596,0.592,-0.294,bundesliga:0.2 serie_a:0.06 national_teams:0.153 georgian_football:-0.158 transfers:-0.172 legends:-0.164 la_liga:-0.153,no,2197653174567860
297,Reziika.baller,GE,Zugdidi,,B5 (top),2,evening,no,0.807,0.532,-0.032,la_liga:0.15 national_teams:0.173 legends:-0.065 bundesliga:-0.197 georgian_football:-0.114,no,1934240175410224
298,Meladzshvili,GE,Kutaisi,,B1 (bottom),2,evening,no,0.082,0.38,-0.01,bundesliga:0.195 serie_a:0.08 legends:0.071 world_cup:0.075 transfers:-0.149 premier_league:-0.2 la_liga:-0.058,no,2676294898915994
299,NodarN1,GE,Rustavi,,B2,2,morning,no,0.366,0.444,-0.125,serie_a:0.102 national_teams:0.16 la_liga:0.07 champions_league:0.09 premier_league:-0.182 world_cup:-0.086,no,1601100716866678
300,Lukas,GE,Zugdidi,,B1 (bottom),10,daytime,no,0.091,0.365,0.279,bundesliga:0.133 georgian_football:0.149 world_cup:0.174 la_liga:0.145 national_teams:-0.084 premier_league:-0.07 champions_league:-0.15,no,2324476477364422
301,Tengiziko,GE,Tbilisi,,B1 (bottom),15,evening,yes,0.121,0.635,-0.162,la_liga:0.06 champions_league:0.072 world_cup:-0.094 national_teams:-0.181 transfers:-0.107,no,2006818490605203
302,ika dolidze,GE,Poti,,B3,2,evening,no,0.475,0.742,-0.135,serie_a:0.198 bundesliga:0.097 champions_league:-0.111 la_liga:-0.161 georgian_football:-0.063,no,4134953377648293
303,Pridon Eliashiani,GE,Ozurgeti,,B4,15,evening,no,0.604,0.451,0.225,premier_league:0.114 bundesliga:0.08 la_liga:-0.197 georgian_football:-0.118 serie_a:-0.105 transfers:-0.118,no,2788930263216117
304,gocha tsereteliiani,GE,Batumi,,B3,10,daytime,no,0.55,0.809,-0.116,bundesliga:0.148 legends:0.171 premier_league:0.146 national_teams:0.182 la_liga:-0.077 serie_a:-0.052,no,601447908811375
305,ika,GE,Rustavi,,B2,2,evening,no,0.418,0.699,0.094,transfers:0.057 georgian_football:0.141 legends:0.154 la_liga:0.136 champions_league:-0.158 bundesliga:-0.118 national_teams:-0.177,no,3709210958572304
306,Zarkidze,GE,Zugdidi,,B2,10,daytime,no,0.339,0.72,0.218,serie_a:0.081 bundesliga:0.148 legends:-0.117 transfers:-0.064 world_cup:-0.143 champions_league:-0.143,yes,2703807511927945
307,Koteo,GE,Zugdidi,,B3,2,morning,no,0.526,0.567,-0.091,bundesliga:0.136 legends:0.083 georgian_football:0.148 world_cup:-0.119 premier_league:-0.185,no,1416690919055149
308,Gugaa,GE,Gori,,B2,2,morning,no,0.339,0.696,-0.016,world_cup:0.173 la_liga:0.181 premier_league:0.157 transfers:0.18 legends:-0.113 champions_league:-0.09,yes,3522581267773734
309,Paata Mgeli,GE,Akhaltsikhe,,B4,2,daytime,no,0.606,0.536,-0.169,transfers:0.169 la_liga:0.069 legends:-0.101 premier_league:-0.123 serie_a:-0.13 bundesliga:-0.089,no,1932976342787140
310,Mikheilika,GE,Gori,,B2,15,daytime,no,0.412,0.691,-0.224,national_teams:0.109 la_liga:0.068 serie_a:0.092 bundesliga:0.092 transfers:-0.184 georgian_football:-0.167 premier_league:-0.109 champions_league:-0.062,no,3829521385914156
311,Roin22,GE,Gori,,B1 (bottom),2,evening,no,0.113,0.694,-0.281,bundesliga:0.148 transfers:0.081 premier_league:-0.13 georgian_football:-0.138 world_cup:-0.185,no,440928661843887
312,Guram,GE,Zugdidi,,B2,2,daytime,no,0.347,0.647,0.265,transfers:0.065 la_liga:0.177 champions_league:-0.131 georgian_football:-0.159 legends:-0.138 serie_a:-0.144,no,4226695806710164
313,Zuraka,DE,Berlin,,B4,3,morning,no,0.677,0.366,0.25,transfers:0.192 national_teams:0.108 champions_league:0.093 legends:0.108 world_cup:-0.162 serie_a:-0.111 la_liga:-0.143 bundesliga:-0.183,no,976995069049416
314,Uguladze21,GE,Telavi,,B1 (bottom),15,evening,no,0.133,0.61,-0.013,bundesliga:0.105 world_cup:0.163 premier_league:-0.157 national_teams:-0.085 serie_a:-0.073 champions_league:-0.081,no,905577604367137
315,ZUKA,GE,Rustavi,,B3,2,daytime,no,0.484,0.572,-0.182,world_cup:0.161 bundesliga:0.154 legends:-0.143 georgian_football:-0.08 champions_league:-0.065,no,1662250918104861
316,Irakli Darakhvelshvili,GE,Poti,,B3,2,daytime,no,0.57,0.521,-0.06,serie_a:0.076 world_cup:0.121 bundesliga:-0.1 premier_league:-0.153 champions_league:-0.121 legends:-0.054,no,4204571073429175
317,Vakho Okropeli,GE,Tbilisi,,B2,2,evening,no,0.312,0.654,0.119,champions_league:0.169 world_cup:0.097 legends:0.172 la_liga:0.117 national_teams:-0.118 georgian_football:-0.081 bundesliga:-0.16,no,1650895606999635
318,AnanoM,GE,Rustavi,,B2,2,evening,no,0.314,0.395,0.176,la_liga:0.112 legends:0.18 champions_league:-0.097 transfers:-0.118 serie_a:-0.052,no,645984343627616
319,anano sanikadze,TR,Ankara,,B4,2,daytime,no,0.638,0.626,-0.212,premier_league:0.098 bundesliga:0.132 transfers:-0.188 national_teams:-0.127,no,1397658684672195
320,Mikashvili,GE,Akhaltsikhe,,B2,21,daytime,no,0.42,0.596,0.23,world_cup:0.195 serie_a:0.19 bundesliga:0.159 legends:-0.06 transfers:-0.069,no,1075687301438661
321,Temol Arakiadze,GE,Telavi,,B1 (bottom),2,evening,no,0.073,0.66,-0.073,premier_league:0.153 world_cup:0.164 la_liga:-0.1 bundesliga:-0.08 serie_a:-0.139,no,2705699935880858
322,Likao,GE,Ozurgeti,,B1 (bottom),2,daytime,no,0.094,0.363,-0.108,bundesliga:0.167 georgian_football:0.09 premier_league:0.175 legends:0.128 la_liga:-0.105 champions_league:-0.056 world_cup:-0.088 serie_a:-0.118,no,3550722985991738
323,valerio.mbappe,GE,Kutaisi,,B3,2,morning,no,0.563,0.643,-0.214,la_liga:0.188 transfers:0.149 national_teams:0.142 world_cup:0.19 champions_league:-0.175 serie_a:-0.159,no,1948739534832905
324,LelaT,GE,Telavi,,B1 (bottom),2,daytime,no,0.08,0.522,-0.059,serie_a:0.166 la_liga:0.174 national_teams:-0.19 world_cup:-0.113,no,1003577245974768
325,Nikoloz Chadunshvili,GE,Kutaisi,,B3,2,evening,no,0.514,0.643,-0.251,transfers:0.103 bundesliga:0.115 georgian_football:0.109 world_cup:-0.116 serie_a:-0.059 premier_league:-0.1,no,2212977894969720
326,Sulkhan Zumbuladze,GE,Akhaltsikhe,,B2,3,evening,no,0.341,0.799,-0.225,bundesliga:0.102 legends:0.053 world_cup:0.176 la_liga:0.147 premier_league:-0.147 national_teams:-0.087 georgian_football:-0.09 champions_league:-0.176,no,1851394414916802
327,ilian,GE,Zugdidi,,B1 (bottom),3,morning,no,0.062,0.45,0.233,world_cup:0.132 national_teams:0.056 champions_league:0.106 georgian_football:-0.123 legends:-0.09 la_liga:-0.063 bundesliga:-0.087,no,1170631445332348
328,Guramka,GE,Batumi,,B3,2,evening,no,0.583,0.796,0.136,world_cup:0.106 transfers:0.131 la_liga:-0.101 serie_a:-0.102 legends:-0.147 premier_league:-0.159,no,3592175071050376
329,Oto,GE,Akhaltsikhe,,B5 (top),2,morning,no,0.83,0.45,0.122,premier_league:0.054 national_teams:0.095 serie_a:0.103 champions_league:0.128 world_cup:-0.129 la_liga:-0.075 transfers:-0.062,no,2400562075673045
330,koka samkharidze,GE,Kutaisi,,B2,2,daytime,no,0.329,0.698,0.105,world_cup:0.168 georgian_football:0.171 champions_league:-0.114 legends:-0.137,no,3637740420789365
331,sopho bagratua,GE,Gori,,B2,2,daytime,no,0.432,0.825,-0.244,serie_a:0.096 la_liga:0.138 world_cup:-0.186 legends:-0.086,no,993579562740223
332,mikheil,ES,Madrid,,B2,2,evening,no,0.271,0.797,0.201,national_teams:0.078 premier_league:0.09 serie_a:0.182 la_liga:-0.123 world_cup:-0.16 legends:-0.111 georgian_football:-0.166,yes,2455513494197121
333,lado lezhavshvili,ES,Madrid,,B3,15,morning,no,0.479,0.494,0.119,world_cup:0.145 serie_a:0.181 georgian_football:0.134 legends:0.145 la_liga:-0.101 premier_league:-0.14 transfers:-0.122,no,1761801609284217
334,janon,DE,Berlin,,B1 (bottom),10,daytime,no,0.159,0.481,0.092,bundesliga:0.113 national_teams:0.074 serie_a:0.192 georgian_football:0.161 champions_league:-0.071 la_liga:-0.188 transfers:-0.142,no,2105604400180975
335,Ushangika,GE,Tbilisi,,B4,15,daytime,yes,0.733,0.586,0.045,national_teams:0.157 champions_league:0.066 bundesliga:-0.087 premier_league:-0.097,no,2825406789180394
336,Soso,ES,Barcelona,,B3,2,evening,no,0.58,0.671,0.281,national_teams:0.171 legends:0.074 bundesliga:-0.122 transfers:-0.051 champions_league:-0.082 la_liga:-0.108,no,990282938846976
337,costa,GE,Akhaltsikhe,,B2,2,evening,no,0.289,0.766,0.043,bundesliga:0.083 national_teams:0.119 world_cup:-0.113 la_liga:-0.143 legends:-0.096,no,1517644112138059
338,Beso,GE,Ozurgeti,,B2,3,evening,no,0.329,0.692,0.249,world_cup:0.107 national_teams:0.095 serie_a:0.137 champions_league:-0.128 premier_league:-0.079 georgian_football:-0.112,no,4340820859260128
339,Vakho,GE,Ozurgeti,,B3,2,evening,no,0.484,0.528,-0.152,champions_league:0.131 serie_a:0.187 la_liga:0.151 bundesliga:0.063 premier_league:-0.054 georgian_football:-0.193 legends:-0.085,no,1045929535974278
340,Ucha Darakhvelshvili,GE,Batumi,,B4,15,evening,no,0.661,0.356,0.046,la_liga:0.114 national_teams:0.178 champions_league:0.129 world_cup:0.142 serie_a:-0.115 transfers:-0.101 legends:-0.118,no,1101410097876985
341,vato kublashidze,GE,Zugdidi,,B2,3,evening,no,0.425,0.416,0.037,transfers:0.193 champions_league:0.089 georgian_football:0.194 legends:0.14 national_teams:-0.14 serie_a:-0.117,no,1263685604800102
342,Sergo Darakhveli,GE,Gori,,B5 (top),2,evening,yes,0.873,0.436,-0.064,national_teams:0.137 champions_league:0.085 legends:0.152 bundesliga:-0.178 la_liga:-0.055,no,334707098316260
343,MirianT,GE,Batumi,,B3,2,evening,no,0.488,0.68,0.095,transfers:0.174 la_liga:0.062 legends:0.176 world_cup:0.164 serie_a:-0.126 premier_league:-0.117,no,260635627226008
344,nika gagoshashvili,TR,Ankara,,B4,3,evening,no,0.709,0.665,-0.2,bundesliga:0.157 champions_league:0.142 premier_league:0.119 la_liga:0.053 world_cup:-0.086 georgian_football:-0.114 legends:-0.069 national_teams:-0.175,no,463500803927810
345,Iuri,GE,Zugdidi,,B3,2,daytime,no,0.488,0.721,-0.103,serie_a:0.182 legends:0.159 champions_league:0.163 la_liga:-0.119 world_cup:-0.193 national_teams:-0.193,no,4265608146925990
346,Gubaz Gelashidze,GE,Batumi,Liverpool FC,B3,2,evening,no,0.462,0.599,0.269,la_liga:0.142 champions_league:0.199 bundesliga:0.105 national_teams:-0.055 premier_league:-0.171 serie_a:-0.161 world_cup:-0.131,no,3012017945375688
347,Janjgavidze,GE,Batumi,,B3,2,evening,no,0.48,0.505,-0.294,champions_league:0.084 world_cup:0.123 transfers:0.1 bundesliga:0.135 premier_league:-0.175 la_liga:-0.176 national_teams:-0.112 georgian_football:-0.19,no,308914364009567
348,Zezva Talakheli,GE,Gori,,B4,2,daytime,no,0.637,0.625,-0.19,georgian_football:0.198 legends:0.149 transfers:0.108 national_teams:0.123 world_cup:-0.054 serie_a:-0.197,no,2272872472335183
349,otar chkhikvshvili,GE,Telavi,,B3,2,evening,no,0.453,0.358,-0.218,serie_a:0.166 la_liga:0.192 transfers:-0.142 bundesliga:-0.181 national_teams:-0.115,no,2394610257290379
350,Mikheilika1,US,Chicago,,B2,2,daytime,no,0.41,0.696,-0.286,legends:0.125 world_cup:0.16 la_liga:-0.107 serie_a:-0.084 national_teams:-0.055,no,3569632094352136
351,Ioseb Imnadzshvili,GE,Akhaltsikhe,,B3,2,evening,no,0.536,0.841,-0.287,bundesliga:0.136 transfers:0.061 la_liga:0.156 world_cup:0.187 national_teams:-0.064 serie_a:-0.167 legends:-0.088 premier_league:-0.161,no,4089788782540599
352,anaushka86,GE,Tbilisi,,B4,2,daytime,no,0.718,0.619,0.011,la_liga:0.112 serie_a:0.12 national_teams:0.17 georgian_football:-0.183 premier_league:-0.129 bundesliga:-0.082,no,327817323218047
353,Ninoiko,GE,Akhaltsikhe,,B2,2,evening,no,0.389,0.53,0.238,serie_a:0.185 world_cup:0.072 premier_league:0.079 champions_league:0.163 bundesliga:-0.14 national_teams:-0.125 legends:-0.136 georgian_football:-0.124,no,215005318664924
354,Zukaushka,GE,Poti,,B2,10,evening,no,0.35,0.478,0.136,serie_a:0.096 bundesliga:0.175 transfers:0.086 georgian_football:0.118 la_liga:-0.06 national_teams:-0.161 world_cup:-0.062 legends:-0.124,no,3522178372274961
355,DavitiK111,GE,Kutaisi,,B1 (bottom),10,daytime,no,0.065,0.724,0.05,la_liga:0.119 georgian_football:0.156 premier_league:0.102 world_cup:0.194 national_teams:-0.076 champions_league:-0.184 legends:-0.143 serie_a:-0.129,no,2422215150708012
356,RoinT,GE,Zugdidi,,B2,2,daytime,no,0.259,0.564,0.252,serie_a:0.054 bundesliga:0.107 world_cup:-0.121 transfers:-0.17 georgian_football:-0.094,no,314521156288755
357,TengoT,GE,Batumi,,B1 (bottom),3,evening,no,0.121,0.712,-0.158,world_cup:0.051 transfers:0.185 la_liga:0.087 serie_a:0.16 georgian_football:-0.118 legends:-0.156,no,65707732433139
358,Ilia Dvaliidze,GE,Telavi,,B3,15,evening,no,0.513,0.791,-0.004,bundesliga:0.121 national_teams:0.1 serie_a:0.144 champions_league:0.179 georgian_football:-0.143 la_liga:-0.126,no,3050099915094693
359,Manana5,GE,Rustavi,,B3,2,evening,no,0.51,0.495,-0.086,national_teams:0.117 serie_a:0.132 transfers:0.058 champions_league:0.07 legends:-0.194 premier_league:-0.125,no,46847811606970
360,messi69,GB,Manchester,,B1 (bottom),2,morning,no,0.199,0.356,-0.19,bundesliga:0.066 premier_league:0.13 world_cup:-0.133 champions_league:-0.155 legends:-0.199,no,473194165634773
361,Gigi,GR,Thessaloniki,,B2,3,morning,yes,0.351,0.449,0.017,world_cup:0.132 national_teams:0.06 champions_league:0.067 legends:-0.099 la_liga:-0.117 serie_a:-0.071 premier_league:-0.141,no,2657917564548067
362,Miqa Dvalishvili,GE,Zugdidi,,B3,2,daytime,no,0.564,0.785,-0.024,transfers:0.067 serie_a:0.067 la_liga:0.097 champions_league:-0.132 premier_league:-0.076,no,45938614976599
363,Vakhoiko,ES,Barcelona,,B2,2,evening,no,0.334,0.752,-0.112,georgian_football:0.196 world_cup:0.195 legends:0.135 national_teams:-0.129 champions_league:-0.199,no,2601337236109030
364,LukaB,GE,Rustavi,,B1 (bottom),3,evening,no,0.116,0.441,-0.19,legends:0.198 la_liga:0.122 transfers:0.09 serie_a:0.182 bundesliga:-0.076 georgian_football:-0.05 premier_league:-0.07 national_teams:-0.123,yes,261894913980842
365,ლევანი09,GE,Rustavi,,B4,10,evening,no,0.632,0.813,0.121,legends:0.104 bundesliga:0.154 champions_league:0.118 world_cup:0.163 la_liga:-0.077 national_teams:-0.195 transfers:-0.171 georgian_football:-0.1,no,2916746333721139
366,Tea Gvaramidze,GE,Rustavi,,B1 (bottom),2,evening,no,0.098,0.652,-0.14,bundesliga:0.091 serie_a:0.143 transfers:0.189 champions_league:-0.099 la_liga:-0.087 legends:-0.059,no,3955004924248783
367,Otari Shengeliani,GE,Zugdidi,,B2,2,evening,no,0.267,0.818,0.029,serie_a:0.092 bundesliga:0.096 world_cup:0.134 legends:0.18 la_liga:-0.099 georgian_football:-0.092,yes,3554677335568301
368,Grigol Ugrelishvili,GE,Batumi,,B2,2,evening,no,0.343,0.763,0.237,georgian_football:0.157 world_cup:0.18 champions_league:0.083 transfers:0.114 national_teams:-0.112 bundesliga:-0.157 la_liga:-0.08,no,3767446205858367
369,valeri lezhavshvili,GE,Kutaisi,,B2,2,daytime,no,0.27,0.591,0.055,bundesliga:0.104 champions_league:0.164 transfers:0.141 la_liga:0.149 premier_league:-0.075 legends:-0.107,no,377586151245615
370,LashaR,GE,Zugdidi,,B1 (bottom),2,evening,no,0.126,0.676,0.268,la_liga:0.165 georgian_football:0.136 champions_league:-0.131 world_cup:-0.103 legends:-0.056 serie_a:-0.056,no,834305563960191
