family,difficulty,answer,prompt_en,explanation_en,facts,image_a,image_b,accepted_count
transfer,medium,Luiz Henrique,One player made this move in 2023/24. Who?,Luiz Henrique joined Botafogo from Real Betis in 2023/24 for €16M.,"{""from"": ""Real Betis"", ""to"": ""Botafogo"", ""season"": ""23/24"", ""fee"": 16000000.0}",real-betis.webp,wl-botafogo.png,3
transfer,medium,Tyler Dibling,One player made this move in 2025/26. Who?,Tyler Dibling joined Everton from Southampton in 2025/26 for €40.5M.,"{""from"": ""Southampton"", ""to"": ""Everton"", ""season"": ""25/26"", ""fee"": 40500000.0}",wl-southampton.png,everton.webp,4
transfer,hard,Álex Jiménez,One player made this move in 2026/27. Who?,Álex Jiménez joined Bournemouth from AC Milan in 2026/27 for €18.5M.,"{""from"": ""AC Milan"", ""to"": ""Bournemouth"", ""season"": ""26/27"", ""fee"": 18500000.0}",ac-milan.webp,afc-bournemouth.png,4
transfer,medium,Konstantinos Koulierakis,One player made this move in 2024/25. Who?,Konstantinos Koulierakis joined Wolfsburg from PAOK in 2024/25 for €11.8M.,"{""from"": ""PAOK"", ""to"": ""Wolfsburg"", ""season"": ""24/25"", ""fee"": 11750000.0}",paok.png,wl-vfl-wolfsburg.png,4
transfer,medium,Marcos Alonso,One player made this move in 2016/17. Who?,Marcos Alonso joined Chelsea from Fiorentina in 2016/17 for €23M.,"{""from"": ""Fiorentina"", ""to"": ""Chelsea"", ""season"": ""16/17"", ""fee"": 23000000.0}",acf-fiorentina.webp,chelsea.webp,4
transfer,easy,Rafael Leão,One player made this move in 2019/20. Who?,Rafael Leão joined AC Milan from Lille in 2019/20 for €49.5M.,"{""from"": ""Lille"", ""to"": ""AC Milan"", ""season"": ""19/20"", ""fee"": 49500000.0}",losc-lille.webp,ac-milan.webp,8
transfer,hard,Arthur Cabral,One player made this move in 2023/24. Who?,Arthur Cabral joined Benfica from Fiorentina in 2023/24 for €21M.,"{""from"": ""Fiorentina"", ""to"": ""Benfica"", ""season"": ""23/24"", ""fee"": 21000000.0}",acf-fiorentina.webp,sl-benfica.webp,4
transfer,medium,Dani Ceballos,One player made this move in 2017/18. Who?,Dani Ceballos joined Real Madrid CF from Real Betis in 2017/18 for €16.5M.,"{""from"": ""Real Betis"", ""to"": ""Real Madrid"", ""season"": ""17/18"", ""fee"": 16500000.0}",real-betis.webp,real-madrid-cf.webp,4
transfer,hard,Quincy Promes,One player made this move in 2018/19. Who?,Quincy Promes joined Sevilla FC from Spartak Moscow in 2018/19 for €21M.,"{""from"": ""Spartak Moscow"", ""to"": ""Sevilla FC"", ""season"": ""18/19"", ""fee"": 21000000.0}",wl-spartak-moscow.png,sevilla-fc.webp,5
transfer,medium,Nikola Vlašić,One player made this move in 2019/20. Who?,Nikola Vlašić joined CSKA Moscow from Everton in 2019/20 for €23M.,"{""from"": ""Everton"", ""to"": ""CSKA Moscow"", ""season"": ""19/20"", ""fee"": 23000000.0}",everton.webp,cska-moscow.png,4
transfer,hard,Calum Chambers,One player made this move in 2014/15. Who?,Calum Chambers joined Arsenal from Southampton in 2014/15 for €20.2M.,"{""from"": ""Southampton"", ""to"": ""Arsenal"", ""season"": ""14/15"", ""fee"": 20230000.0}",wl-southampton.png,arsenal.webp,5
transfer,easy,Takefusa Kubo,One player made this move in 2022/23. Who?,Takefusa Kubo joined Real Sociedad from Real Madrid CF in 2022/23 for €6.5M.,"{""from"": ""Real Madrid"", ""to"": ""Real Sociedad"", ""season"": ""22/23"", ""fee"": 6500000.0}",real-madrid-cf.webp,real-sociedad.webp,5
transfer,medium,Luiz Henrique,One player made this move in 2022/23. Who?,Luiz Henrique joined Real Betis from Fluminense in 2022/23 for €10.4M.,"{""from"": ""Fluminense"", ""to"": ""Real Betis"", ""season"": ""22/23"", ""fee"": 10400000.0}",wl-fluminense.png,real-betis.webp,3
transfer,medium,Luis Sinisterra,One player made this move in 2026/27. Who?,Luis Sinisterra joined Cruzeiro from Bournemouth in 2026/27 for €6M.,"{""from"": ""Bournemouth"", ""to"": ""Cruzeiro"", ""season"": ""26/27"", ""fee"": 6000000.0}",afc-bournemouth.png,wl-cruzeiro.png,4
transfer,medium,Jesús Rodríguez,One player made this move in 2025/26. Who?,Jesús Rodríguez joined Como from Real Betis in 2025/26 for €22.5M.,"{""from"": ""Real Betis"", ""to"": ""Como"", ""season"": ""25/26"", ""fee"": 22500000.0}",real-betis.webp,wl-como.png,4
transfer,medium,Leonardo Bonucci,One player made this move in 2018/19. Who?,Leonardo Bonucci joined Juventus from AC Milan in 2018/19 for €35M.,"{""from"": ""AC Milan"", ""to"": ""Juventus"", ""season"": ""18/19"", ""fee"": 35000000.0}",ac-milan.webp,juventus.webp,4
transfer,hard,Kristoffer Ajer,One player made this move in 2021/22. Who?,Kristoffer Ajer joined Brentford from Celtic in 2021/22 for €15.7M.,"{""from"": ""Celtic"", ""to"": ""Brentford"", ""season"": ""21/22"", ""fee"": 15700000.0}",celtic.webp,wl-brentford.png,5
transfer,easy,Cristiano Ronaldo,One player made this move in 2018/19. Who?,Cristiano Ronaldo joined Juventus from Real Madrid CF in 2018/19 for €117M.,"{""from"": ""Real Madrid"", ""to"": ""Juventus"", ""season"": ""18/19"", ""fee"": 117000000.0}",real-madrid-cf.webp,juventus.webp,3
transfer,medium,Renato Sanches,One player made this move in 2019/20. Who?,Renato Sanches joined Lille from FC Bayern Munich in 2019/20 for €20M.,"{""from"": ""Bayern Munich"", ""to"": ""Lille"", ""season"": ""19/20"", ""fee"": 20000000.0}",fc-bayern-munich.webp,losc-lille.webp,4
transfer,medium,Ezri Konsa,One player made this move in 2019/20. Who?,Ezri Konsa joined Aston Villa from Brentford in 2019/20 for €13.3M.,"{""from"": ""Brentford"", ""to"": ""Aston Villa"", ""season"": ""19/20"", ""fee"": 13300000.0}",wl-brentford.png,aston-villa.webp,5
transfer,medium,Carlos Bacca,One player made this move in 2015/16. Who?,Carlos Bacca joined AC Milan from Sevilla FC in 2015/16 for €33.3M.,"{""from"": ""Sevilla FC"", ""to"": ""AC Milan"", ""season"": ""15/16"", ""fee"": 33300000.0}",sevilla-fc.webp,ac-milan.webp,4
transfer,hard,Luiz Felipe,One player made this move in 2023/24. Who?,Luiz Felipe joined Al-Ittihad from Real Betis in 2023/24 for €22M.,"{""from"": ""Real Betis"", ""to"": ""Al-Ittihad"", ""season"": ""23/24"", ""fee"": 22000000.0}",real-betis.webp,wl-al-ittihad.png,3
transfer,medium,Luis Alberto,One player made this move in 2013/14. Who?,Luis Alberto joined Liverpool from Sevilla FC in 2013/14 for €8M.,"{""from"": ""Sevilla FC"", ""to"": ""Liverpool"", ""season"": ""13/14"", ""fee"": 8000000.0}",sevilla-fc.webp,liverpool.webp,3
transfer,easy,Lucas Paquetá,One player made this move in 2020/21. Who?,Lucas Paquetá joined Lyon from AC Milan in 2020/21 for €23M.,"{""from"": ""AC Milan"", ""to"": ""Lyon"", ""season"": ""20/21"", ""fee"": 23000000.0}",ac-milan.webp,olympique-lyonnais.webp,4
transfer,medium,Orkun Kökçü,One player made this move in 2026/27. Who?,Orkun Kökçü joined Beşiktaş from Benfica in 2026/27 for €30M.,"{""from"": ""Benfica"", ""to"": ""Besiktas"", ""season"": ""26/27"", ""fee"": 30000000.0}",sl-benfica.webp,wl-besiktas.png,5
transfer,medium,Kevin Strootman,One player made this move in 2018/19. Who?,Kevin Strootman joined Marseille from AS Roma in 2018/19 for €25M.,"{""from"": ""AS Roma"", ""to"": ""Marseille"", ""season"": ""18/19"", ""fee"": 25000000.0}",as-roma.webp,wl-marseille.png,4
transfer,easy,Alexandre Lacazette,One player made this move in 2017/18. Who?,Alexandre Lacazette joined Arsenal from Lyon in 2017/18 for €53M.,"{""from"": ""Lyon"", ""to"": ""Arsenal"", ""season"": ""17/18"", ""fee"": 53000000.0}",olympique-lyonnais.webp,arsenal.webp,4
transfer,medium,Ivan Toney,One player made this move in 2024/25. Who?,Ivan Toney joined Al-Ahli from Brentford in 2024/25 for €42M.,"{""from"": ""Brentford"", ""to"": ""Al-Ahli"", ""season"": ""24/25"", ""fee"": 42000000.0}",wl-brentford.png,wl-al-ahli.png,4
transfer,medium,Lucas Torreira,One player made this move in 2018/19. Who?,Lucas Torreira joined Arsenal from Sampdoria in 2018/19 for €28.6M.,"{""from"": ""Sampdoria"", ""to"": ""Arsenal"", ""season"": ""18/19"", ""fee"": 28650000.0}",sampdoria.webp,arsenal.webp,4
transfer,hard,Fábio Carvalho,One player made this move in 2022/23. Who?,Fábio Carvalho joined Liverpool from Fulham in 2022/23 for €9.4M.,"{""from"": ""Fulham"", ""to"": ""Liverpool"", ""season"": ""22/23"", ""fee"": 9400000.0}",wl-fulham.png,liverpool.webp,4
transfer,hard,Victor Moses,One player made this move in 2021/22. Who?,Victor Moses joined Spartak Moscow from Chelsea in 2021/22 for €5M.,"{""from"": ""Chelsea"", ""to"": ""Spartak Moscow"", ""season"": ""21/22"", ""fee"": 5000000.0}",chelsea.webp,wl-spartak-moscow.png,4
transfer,easy,Vinicius Junior,One player made this move in 2018/19. Who?,Vinicius Junior joined Real Madrid CF from Flamengo in 2018/19 for €45M.,"{""from"": ""Flamengo"", ""to"": ""Real Madrid"", ""season"": ""18/19"", ""fee"": 45000000.0}",flamengo.webp,real-madrid-cf.webp,3
transfer,hard,Paul Onuachu,One player made this move in 2022/23. Who?,Paul Onuachu joined Southampton from Genk in 2022/23 for €18M.,"{""from"": ""Genk"", ""to"": ""Southampton"", ""season"": ""22/23"", ""fee"": 18000000.0}",wl-genk.png,wl-southampton.png,4
transfer,medium,Orkun Kökçü,One player made this move in 2023/24. Who?,Orkun Kökçü joined Benfica from Feyenoord in 2023/24 for €29.7M.,"{""from"": ""Feyenoord"", ""to"": ""Benfica"", ""season"": ""23/24"", ""fee"": 29700000.0}",feyenoord.webp,sl-benfica.webp,5
transfer,medium,Luis Muriel,One player made this move in 2017/18. Who?,Luis Muriel joined Sevilla FC from Sampdoria in 2017/18 for €24.5M.,"{""from"": ""Sampdoria"", ""to"": ""Sevilla FC"", ""season"": ""17/18"", ""fee"": 24500000.0}",sampdoria.webp,sevilla-fc.webp,4
transfer,medium,Vitaliy Mykolenko,One player made this move in 2021/22. Who?,Vitaliy Mykolenko joined Everton from Dynamo Kyiv in 2021/22 for €23.5M.,"{""from"": ""Dynamo Kyiv"", ""to"": ""Everton"", ""season"": ""21/22"", ""fee"": 23500000.0}",wl-dynamo-kyiv.png,everton.webp,4
transfer,medium,Milos Kerkez,One player made this move in 2025/26. Who?,Milos Kerkez joined Liverpool from Bournemouth in 2025/26 for €46.9M.,"{""from"": ""Bournemouth"", ""to"": ""Liverpool"", ""season"": ""25/26"", ""fee"": 46900000.0}",afc-bournemouth.png,liverpool.webp,4
transfer,medium,Marcos Senesi,One player made this move in 2022/23. Who?,Marcos Senesi joined Bournemouth from Feyenoord in 2022/23 for €15M.,"{""from"": ""Feyenoord"", ""to"": ""Bournemouth"", ""season"": ""22/23"", ""fee"": 15000000.0}",feyenoord.webp,afc-bournemouth.png,4
transfer,medium,Youssef En-Nesyri,One player made this move in 2024/25. Who?,Youssef En-Nesyri joined Fenerbahçe from Sevilla FC in 2024/25 for €19.5M.,"{""from"": ""Sevilla FC"", ""to"": ""Fenerbahçe"", ""season"": ""24/25"", ""fee"": 19500000.0}",sevilla-fc.webp,wl-fenerbahce.png,5
transfer,easy,Kingsley Coman,One player made this move in 2017/18. Who?,Kingsley Coman joined FC Bayern Munich from Juventus in 2017/18 for €21M.,"{""from"": ""Juventus"", ""to"": ""Bayern Munich"", ""season"": ""17/18"", ""fee"": 21000000.0}",juventus.webp,fc-bayern-munich.webp,6
transfer,medium,Santiago Gimenez,One player made this move in 2024/25. Who?,Santiago Gimenez joined AC Milan from Feyenoord in 2024/25 for €30.2M.,"{""from"": ""Feyenoord"", ""to"": ""AC Milan"", ""season"": ""24/25"", ""fee"": 30200000.0}",feyenoord.webp,ac-milan.webp,4
transfer,easy,Kai Havertz,One player made this move in 2023/24. Who?,Kai Havertz joined Arsenal from Chelsea in 2023/24 for €75M.,"{""from"": ""Chelsea"", ""to"": ""Arsenal"", ""season"": ""23/24"", ""fee"": 75000000.0}",chelsea.webp,arsenal.webp,5
transfer,medium,Caoimhín Kelleher,One player made this move in 2025/26. Who?,Caoimhín Kelleher joined Brentford from Liverpool in 2025/26 for €14.8M.,"{""from"": ""Liverpool"", ""to"": ""Brentford"", ""season"": ""25/26"", ""fee"": 14800000.0}",liverpool.webp,wl-brentford.png,5
transfer,easy,Dušan Vlahović,One player made this move in 2021/22. Who?,Dušan Vlahović joined Juventus from Fiorentina in 2021/22 for €85.4M.,"{""from"": ""Fiorentina"", ""to"": ""Juventus"", ""season"": ""21/22"", ""fee"": 85400000.0}",acf-fiorentina.webp,juventus.webp,5
transfer,hard,Dejan Lovren,One player made this move in 2013/14. Who?,Dejan Lovren joined Southampton from Lyon in 2013/14 for €10M.,"{""from"": ""Lyon"", ""to"": ""Southampton"", ""season"": ""13/14"", ""fee"": 10000000.0}",olympique-lyonnais.webp,wl-southampton.png,4
transfer,medium,Santi Cazorla,One player made this move in 2012/13. Who?,Santi Cazorla joined Arsenal from Málaga in 2012/13 for €19M.,"{""from"": ""Málaga CF"", ""to"": ""Arsenal"", ""season"": ""12/13"", ""fee"": 19000000.0}",malaga-cf.png,arsenal.webp,8
transfer,hard,Luca Waldschmidt,One player made this move in 2021/22. Who?,Luca Waldschmidt joined Wolfsburg from Benfica in 2021/22 for €12M.,"{""from"": ""Benfica"", ""to"": ""Wolfsburg"", ""season"": ""21/22"", ""fee"": 12000000.0}",sl-benfica.webp,wl-vfl-wolfsburg.png,4
transfer,medium,Florian Thauvin,One player made this move in 2013/14. Who?,Florian Thauvin joined Marseille from Lille in 2013/14 for €12M.,"{""from"": ""Lille"", ""to"": ""Marseille"", ""season"": ""13/14"", ""fee"": 12000000.0}",losc-lille.webp,wl-marseille.png,4
transfer,hard,Veljko Milosavljevic,One player made this move in 2025/26. Who?,Veljko Milosavljevic joined Bournemouth from Red Star Belgrade in 2025/26 for €15M.,"{""from"": ""Red Star"", ""to"": ""Bournemouth"", ""season"": ""25/26"", ""fee"": 15000000.0}",wl-red-star.png,afc-bournemouth.png,4
transfer,medium,Wissam Ben Yedder,One player made this move in 2016/17. Who?,Wissam Ben Yedder joined Sevilla FC from Toulouse in 2016/17 for €9.5M.,"{""from"": ""Toulouse"", ""to"": ""Sevilla FC"", ""season"": ""16/17"", ""fee"": 9500000.0}",wl-toulouse.png,sevilla-fc.webp,6
transfer,medium,Rodrigo Bentancur,One player made this move in 2017/18. Who?,Rodrigo Bentancur joined Juventus from Boca Juniors in 2017/18 for €23.5M.,"{""from"": ""Boca Juniors"", ""to"": ""Juventus"", ""season"": ""17/18"", ""fee"": 23500000.0}",boca-juniors.webp,juventus.webp,4
transfer,medium,Alex Oxlade-Chamberlain,One player made this move in 2017/18. Who?,Alex Oxlade-Chamberlain joined Liverpool from Arsenal in 2017/18 for €38M.,"{""from"": ""Arsenal"", ""to"": ""Liverpool"", ""season"": ""17/18"", ""fee"": 38000000.0}",arsenal.webp,liverpool.webp,4
transfer,easy,Álvaro Morata,One player made this move in 2017/18. Who?,Álvaro Morata joined Chelsea from Real Madrid CF in 2017/18 for €66M.,"{""from"": ""Real Madrid"", ""to"": ""Chelsea"", ""season"": ""17/18"", ""fee"": 66000000.0}",real-madrid-cf.webp,chelsea.webp,9
transfer,hard,Konstantinos Tsimikas,One player made this move in 2020/21. Who?,Konstantinos Tsimikas joined Liverpool from Olympiacos in 2020/21 for €13M.,"{""from"": ""Olympiacos"", ""to"": ""Liverpool"", ""season"": ""20/21"", ""fee"": 13000000.0}",wl-olympiacos.png,liverpool.webp,4
transfer,hard,Lucas Beltrán,One player made this move in 2023/24. Who?,Lucas Beltrán joined Fiorentina from River Plate in 2023/24 for €19.7M.,"{""from"": ""River Plate"", ""to"": ""Fiorentina"", ""season"": ""23/24"", ""fee"": 19700000.0}",river-plate.webp,acf-fiorentina.webp,4
transfer,medium,Arkadiusz Milik,One player made this move in 2023/24. Who?,Arkadiusz Milik joined Juventus from Marseille in 2023/24 for €7.3M.,"{""from"": ""Marseille"", ""to"": ""Juventus"", ""season"": ""23/24"", ""fee"": 7300000.0}",wl-marseille.png,juventus.webp,5
transfer,medium,Bryan Cristante,One player made this move in 2014/15. Who?,Bryan Cristante joined Benfica from AC Milan in 2014/15 for €5.2M.,"{""from"": ""AC Milan"", ""to"": ""Benfica"", ""season"": ""14/15"", ""fee"": 5200000.0}",ac-milan.webp,sl-benfica.webp,4
transfer,medium,Ross Barkley,One player made this move in 2017/18. Who?,Ross Barkley joined Chelsea from Everton in 2017/18 for €16.8M.,"{""from"": ""Everton"", ""to"": ""Chelsea"", ""season"": ""17/18"", ""fee"": 16800000.0}",everton.webp,chelsea.webp,4
transfer,hard,Bas Dost,One player made this move in 2016/17. Who?,Bas Dost joined Sporting CP from VfL Wolfsburg in 2016/17 for €11.8M.,"{""from"": ""VfL Wolfsburg"", ""to"": ""Sporting CP"", ""season"": ""16/17"", ""fee"": 11850000.0}",wl-vfl-wolfsburg.png,sporting-cp.webp,5
transfer,medium,Mikel Merino,One player made this move in 2024/25. Who?,Mikel Merino joined Arsenal from Real Sociedad in 2024/25 for €32M.,"{""from"": ""Real Sociedad"", ""to"": ""Arsenal"", ""season"": ""24/25"", ""fee"": 32000000.0}",real-sociedad.webp,arsenal.webp,6
transfer,hard,Bas Dost,One player made this move in 2012/13. Who?,Bas Dost joined VfL Wolfsburg from Heerenveen in 2012/13 for €7M.,"{""from"": ""Heerenveen"", ""to"": ""VfL Wolfsburg"", ""season"": ""12/13"", ""fee"": 7000000.0}",sc-heerenveen.png,wl-vfl-wolfsburg.png,5
transfer,medium,Alex Iwobi,One player made this move in 2019/20. Who?,Alex Iwobi joined Everton from Arsenal in 2019/20 for €30.4M.,"{""from"": ""Arsenal"", ""to"": ""Everton"", ""season"": ""19/20"", ""fee"": 30400000.0}",arsenal.webp,everton.webp,4
transfer,medium,Nemanja Matić,One player made this move in 2013/14. Who?,Nemanja Matić joined Chelsea from Benfica in 2013/14 for €25M.,"{""from"": ""Benfica"", ""to"": ""Chelsea"", ""season"": ""13/14"", ""fee"": 25000000.0}",sl-benfica.webp,chelsea.webp,5
transfer,easy,Federico Chiesa,One player made this move in 2024/25. Who?,Federico Chiesa joined Liverpool from Juventus in 2024/25 for €12M.,"{""from"": ""Juventus"", ""to"": ""Liverpool"", ""season"": ""24/25"", ""fee"": 12000000.0}",juventus.webp,liverpool.webp,5
transfer,medium,Rodrigo Muniz,One player made this move in 2021/22. Who?,Rodrigo Muniz joined Fulham from Flamengo in 2021/22 for €8M.,"{""from"": ""Flamengo"", ""to"": ""Fulham"", ""season"": ""21/22"", ""fee"": 8000000.0}",flamengo.webp,wl-fulham.png,4
transfer,medium,Eddie Nketiah,One player made this move in 2024/25. Who?,Eddie Nketiah joined Crystal Palace from Arsenal in 2024/25 for €29.7M.,"{""from"": ""Arsenal"", ""to"": ""Crystal Palace"", ""season"": ""24/25"", ""fee"": 29700000.0}",arsenal.webp,crystal-palace.png,4
transfer,medium,Carney Chukwuemeka,One player made this move in 2022/23. Who?,Carney Chukwuemeka joined Chelsea from Aston Villa in 2022/23 for €18M.,"{""from"": ""Aston Villa"", ""to"": ""Chelsea"", ""season"": ""22/23"", ""fee"": 18000000.0}",aston-villa.webp,chelsea.webp,5
transfer,easy,Sadio Mané,One player made this move in 2016/17. Who?,Sadio Mané joined Liverpool from Southampton in 2016/17 for €41.2M.,"{""from"": ""Southampton"", ""to"": ""Liverpool"", ""season"": ""16/17"", ""fee"": 41200000.0}",wl-southampton.png,liverpool.webp,4
transfer,hard,Ben Gannon-Doak,One player made this move in 2025/26. Who?,Ben Gannon-Doak joined Bournemouth from Liverpool in 2025/26 for €23.2M.,"{""from"": ""Liverpool"", ""to"": ""Bournemouth"", ""season"": ""25/26"", ""fee"": 23200000.0}",liverpool.webp,afc-bournemouth.png,4
transfer,hard,Maximilian Philipp,One player made this move in 2021/22. Who?,Maximilian Philipp joined Wolfsburg from Dynamo Moscow in 2021/22 for €7.5M.,"{""from"": ""Dynamo Moscow"", ""to"": ""Wolfsburg"", ""season"": ""21/22"", ""fee"": 7500000.0}",wl-dynamo-moscow.png,wl-vfl-wolfsburg.png,4
transfer,hard,Fredrik Aursnes,One player made this move in 2022/23. Who?,Fredrik Aursnes joined Benfica from Feyenoord in 2022/23 for €13M.,"{""from"": ""Feyenoord"", ""to"": ""Benfica"", ""season"": ""22/23"", ""fee"": 13000000.0}",feyenoord.webp,sl-benfica.webp,4
transfer,medium,Renato Veiga,One player made this move in 2024/25. Who?,Renato Veiga joined Chelsea from Basel in 2024/25 for €14M.,"{""from"": ""Basel"", ""to"": ""Chelsea"", ""season"": ""24/25"", ""fee"": 14000000.0}",wl-basel.png,chelsea.webp,4
transfer,easy,Dean Huijsen,One player made this move in 2024/25. Who?,Dean Huijsen joined Bournemouth from Juventus in 2024/25 for €22.1M.,"{""from"": ""Juventus"", ""to"": ""Bournemouth"", ""season"": ""24/25"", ""fee"": 22100000.0}",juventus.webp,afc-bournemouth.png,4
transfer,medium,Tyler Morton,One player made this move in 2025/26. Who?,Tyler Morton joined Lyon from Liverpool in 2025/26 for €10M.,"{""from"": ""Liverpool"", ""to"": ""Lyon"", ""season"": ""25/26"", ""fee"": 10000000.0}",liverpool.webp,olympique-lyonnais.webp,4
transfer,easy,Trent Alexander-Arnold,One player made this move in 2025/26. Who?,Trent Alexander-Arnold joined Real Madrid CF from Liverpool in 2025/26 for €10M.,"{""from"": ""Liverpool"", ""to"": ""Real Madrid"", ""season"": ""25/26"", ""fee"": 10000000.0}",liverpool.webp,real-madrid-cf.webp,9
transfer,hard,Germán Pezzella,One player made this move in 2018/19. Who?,Germán Pezzella joined Fiorentina from Real Betis in 2018/19 for €9.8M.,"{""from"": ""Real Betis"", ""to"": ""Fiorentina"", ""season"": ""18/19"", ""fee"": 9750000.0}",real-betis.webp,acf-fiorentina.webp,4
transfer,hard,Mariano Díaz,One player made this move in 2018/19. Who?,Mariano Díaz joined Real Madrid CF from Lyon in 2018/19 for €21.5M.,"{""from"": ""Lyon"", ""to"": ""Real Madrid"", ""season"": ""18/19"", ""fee"": 21500000.0}",olympique-lyonnais.webp,real-madrid-cf.webp,4
transfer,medium,Gabri Veiga,One player made this move in 2023/24. Who?,Gabri Veiga joined Al-Ahli from Celta de Vigo in 2023/24 for €30M.,"{""from"": ""Celta de Vigo"", ""to"": ""Al-Ahli"", ""season"": ""23/24"", ""fee"": 30000000.0}",celta-de-vigo.webp,wl-al-ahli.png,4
transfer,hard,Bertrand Traoré,One player made this move in 2017/18. Who?,Bertrand Traoré joined Lyon from Chelsea in 2017/18 for €10M.,"{""from"": ""Chelsea"", ""to"": ""Lyon"", ""season"": ""17/18"", ""fee"": 10000000.0}",chelsea.webp,olympique-lyonnais.webp,4
transfer,medium,Kevin Strootman,One player made this move in 2013/14. Who?,Kevin Strootman joined AS Roma from PSV Eindhoven in 2013/14 for €17.5M.,"{""from"": ""PSV Eindhoven"", ""to"": ""AS Roma"", ""season"": ""13/14"", ""fee"": 17500000.0}",psv-eindhoven.webp,as-roma.webp,4
transfer,hard,Lazar Markovic,One player made this move in 2014/15. Who?,Lazar Markovic joined Liverpool from Benfica in 2014/15 for €25M.,"{""from"": ""Benfica"", ""to"": ""Liverpool"", ""season"": ""14/15"", ""fee"": 25000000.0}",sl-benfica.webp,liverpool.webp,4
transfer,medium,Borja Iglesias,One player made this move in 2019/20. Who?,Borja Iglesias joined Real Betis from Espanyol in 2019/20 for €28M.,"{""from"": ""Espanyol"", ""to"": ""Real Betis"", ""season"": ""19/20"", ""fee"": 28000000.0}",rcd-espanyol.webp,real-betis.webp,4
transfer,medium,Marc Roca,One player made this move in 2020/21. Who?,Marc Roca joined FC Bayern Munich from Espanyol in 2020/21 for €9M.,"{""from"": ""Espanyol"", ""to"": ""Bayern Munich"", ""season"": ""20/21"", ""fee"": 9000000.0}",rcd-espanyol.webp,fc-bayern-munich.webp,4
transfer,medium,Kerem Aktürkoğlu,One player made this move in 2024/25. Who?,Kerem Aktürkoğlu joined Benfica from Galatasaray in 2024/25 for €13.1M.,"{""from"": ""Galatasaray"", ""to"": ""Benfica"", ""season"": ""24/25"", ""fee"": 13050000.0}",wl-galatasaray.png,sl-benfica.webp,4
transfer,hard,Cameron Archer,One player made this move in 2024/25. Who?,Cameron Archer joined Southampton from Aston Villa in 2024/25 for €17.6M.,"{""from"": ""Aston Villa"", ""to"": ""Southampton"", ""season"": ""24/25"", ""fee"": 17600000.0}",aston-villa.webp,wl-southampton.png,4
transfer,easy,Federico Chiesa,One player made this move in 2022/23. Who?,Federico Chiesa joined Juventus from Fiorentina in 2022/23 for €44.6M.,"{""from"": ""Fiorentina"", ""to"": ""Juventus"", ""season"": ""22/23"", ""fee"": 44600000.0}",acf-fiorentina.webp,juventus.webp,5
transfer,medium,Djordje Petrovic,One player made this move in 2025/26. Who?,Djordje Petrovic joined Bournemouth from Chelsea in 2025/26 for €28.9M.,"{""from"": ""Chelsea"", ""to"": ""Bournemouth"", ""season"": ""25/26"", ""fee"": 28900000.0}",chelsea.webp,afc-bournemouth.png,5
transfer,easy,Virgil van Dijk,One player made this move in 2017/18. Who?,Virgil van Dijk joined Liverpool from Southampton in 2017/18 for €84.7M.,"{""from"": ""Southampton"", ""to"": ""Liverpool"", ""season"": ""17/18"", ""fee"": 84650000.0}",wl-southampton.png,liverpool.webp,14
transfer,medium,Edon Zhegrova,One player made this move in 2021/22. Who?,Edon Zhegrova joined Lille from Basel in 2021/22 for €7M.,"{""from"": ""Basel"", ""to"": ""Lille"", ""season"": ""21/22"", ""fee"": 7000000.0}",wl-basel.png,losc-lille.webp,5
transfer,medium,Willian José,One player made this move in 2022/23. Who?,Willian José joined Real Betis from Real Sociedad in 2022/23 for €10M.,"{""from"": ""Real Sociedad"", ""to"": ""Real Betis"", ""season"": ""22/23"", ""fee"": 10000000.0}",real-sociedad.webp,real-betis.webp,3
transfer,medium,Dodi Lukébakio,One player made this move in 2023/24. Who?,Dodi Lukébakio joined Sevilla FC from Hertha BSC in 2023/24 for €10M.,"{""from"": ""Hertha BSC"", ""to"": ""Sevilla FC"", ""season"": ""23/24"", ""fee"": 10000000.0}",hertha-bsc.webp,sevilla-fc.webp,5
transfer,easy,Dean Huijsen,One player made this move in 2025/26. Who?,Dean Huijsen joined Real Madrid CF from Bournemouth in 2025/26 for €62.5M.,"{""from"": ""Bournemouth"", ""to"": ""Real Madrid"", ""season"": ""25/26"", ""fee"": 62500000.0}",afc-bournemouth.png,real-madrid-cf.webp,4
transfer,easy,Estêvão,One player made this move in 2025/26. Who?,Estêvão joined Chelsea from Palmeiras in 2025/26 for €45M.,"{""from"": ""Palmeiras"", ""to"": ""Chelsea"", ""season"": ""25/26"", ""fee"": 45000000.0}",wl-palmeiras.png,chelsea.webp,2
transfer,easy,Naby Keïta,One player made this move in 2018/19. Who?,Naby Keïta joined Liverpool from RB Leipzig in 2018/19 for €60M.,"{""from"": ""RB Leipzig"", ""to"": ""Liverpool"", ""season"": ""18/19"", ""fee"": 60000000.0}",wl-rb-leipzig.png,liverpool.webp,5
transfer,hard,Gedson Fernandes,One player made this move in 2025/26. Who?,Gedson Fernandes joined Spartak Moscow from Beşiktaş in 2025/26 for €20.8M.,"{""from"": ""Besiktas"", ""to"": ""Spartak Moscow"", ""season"": ""25/26"", ""fee"": 20780000.0}",wl-besiktas.png,wl-spartak-moscow.png,5
